,Country,Year,Total Production,Exportable Production
291,Rwanda,1995/96,329.07800000000003,328.07800000000003
292,Timor-Leste,1995/96,,0.0
293,Zimbabwe,1995/96,130.644,124.044
294,"Congo, Rep. of",1995/96,11.755,8.755
295,Cuba,1995/96,284.955,90.955
296,Dominican Republic,1995/96,885.625,535.625
297,Haiti,1995/96,513.945,183.945
298,Philippines,1995/96,849.59,39.59
299,Tanzania,1995/96,897.1210000000001,883.5210000000001
300,Zambia,1995/96,26.333000000000002,25.733
301,Benin,1995/96,0.0,0.0
302,Cameroon,1995/96,660.04,560.04
303,Central African Republic,1995/96,108.065,98.065
304,Colombia,1995/96,12962.561000000002,11462.561000000002
305,"Congo, Dem. Rep. of",1995/96,1098.155,898.155
306,Costa Rica,1995/96,2843.5959999999995,2468.596
307,Côte d'Ivoire,1995/96,2531.864,2481.864
308,El Salvador,1995/96,2585.179,2315.179
309,Equatorial Guinea,1995/96,1.807,1.807
310,Ethiopia,1995/96,3165.322,1610.3220000000001
311,Gabon,1995/96,1.768,968.0
312,Ghana,1995/96,56.528,28.528000000000002
313,Guatemala,1995/96,4001.6040000000003,3691.6040000000003
314,Guinea,1995/96,104.164,54.163999999999994
315,Guyana,1995/96,,0.0
316,Honduras,1995/96,1909.2379999999998,1748.2379999999998
317,India,1995/96,3716.9990000000003,2883.6659999999997
318,Jamaica,1995/96,43.083999999999996,28.084
319,Kenya,1995/96,1664.234,1614.234
320,"Lao, People's Dem. Rep. of",1995/96,,0.0
321,Liberia,1995/96,5.0,0.0
322,Mexico,1995/96,5299.888000000001,4120.888
323,Nepal,1995/96,,0.0
324,Nicaragua,1995/96,984.676,873.176
325,Nigeria,1995/96,53.038000000000004,13.038
326,Panama,1995/96,209.44799999999998,132.781
327,Sierra Leone,1995/96,43.768,35.768
328,Sri Lanka,1995/96,35.595,15.595
329,Thailand,1995/96,1317.226,900.2260000000001
330,Togo,1995/96,84.40100000000001,83.40100000000001
331,Trinidad & Tobago,1995/96,17.629,3.6289999999999996
332,Uganda,1995/96,3243.5840000000003,3163.5840000000003
333,Venezuela,1995/96,1466.5539999999999,504.094
334,Vietnam,1995/96,3970.086,3688.241
335,Yemen,1995/96,,0.0
336,Angola,1996/97,70.925,50.925
337,Bolivia,1996/97,133.079,93.079
338,Brazil,1996/97,29196.743,18196.743000000002
339,Burundi,1996/97,400.969,398.969
340,Ecuador,1996/97,1992.914,1692.914
341,Indonesia,1996/97,8220.584,6734.584
342,Madagascar,1996/97,849.008,682.008
343,Malawi,1996/97,48.65,46.65
344,Papua New Guinea,1996/97,1089.348,1087.348
345,Paraguay,1996/97,25.563000000000002,5.563
346,Peru,1996/97,1805.861,1605.861
347,Rwanda,1996/97,293.003,292.003
348,Timor-Leste,1996/97,,0.0
349,Zimbabwe,1996/97,174.393,170.393
350,"Congo, Rep. of",1996/97,13.86,10.86
351,Cuba,1996/97,365.865,176.865
352,Dominican Republic,1996/97,518.8480000000001,193.84799999999998
353,Haiti,1996/97,428.38699999999994,98.387
354,Philippines,1996/97,889.819,58.818999999999996
355,Tanzania,1996/97,763.94,747.34
356,Zambia,1996/97,33.025,32.025
357,Benin,1996/97,0.0,0.0
358,Cameroon,1996/97,1432.1889999999999,1332.1889999999999
359,Central African Republic,1996/97,207.831,197.831
360,Colombia,1996/97,10719.063,9119.063
361,"Congo, Dem. Rep. of",1996/97,794.577,594.577
362,Costa Rica,1996/97,2221.915,1846.915
363,Côte d'Ivoire,1996/97,4858.592000000001,4808.592000000001
364,El Salvador,1996/97,2533.5679999999998,2303.5679999999998
365,Equatorial Guinea,1996/97,1.12,1.12
366,Ethiopia,1996/97,3407.442,1770.442
367,Gabon,1996/97,1.2790000000000001,446.0
368,Ghana,1996/97,32.425,29.425
369,Guatemala,1996/97,4524.556,4224.556
370,Guinea,1996/97,147.638,97.63799999999999
371,Guyana,1996/97,,0.0
372,Honduras,1996/97,2004.388,1836.464
373,India,1996/97,3417.454,2584.121
374,Jamaica,1996/97,53.864,35.864000000000004
375,Kenya,1996/97,1246.753,1196.753
376,"Lao, People's Dem. Rep. of",1996/97,,0.0
377,Liberia,1996/97,5.0,0.0
378,Mexico,1996/97,5109.5509999999995,3874.551
379,Nepal,1996/97,,0.0
380,Nicaragua,1996/97,793.305,697.935
381,Nigeria,1996/97,45.975,5.975
382,Panama,1996/97,210.74200000000002,134.075
383,Sierra Leone,1996/97,40.91,32.91
384,Sri Lanka,1996/97,36.999,16.999000000000002
385,Thailand,1996/97,1403.5810000000001,1070.5810000000001
386,Togo,1996/97,290.586,289.586
387,Trinidad & Tobago,1996/97,18.188,4.188
388,Uganda,1996/97,3418.724,3338.724
389,Venezuela,1996/97,1206.162,202.982
390,Vietnam,1996/97,5752.481,5454.965
391,Yemen,1996/97,,0.0
392,Angola,1997/98,64.33,24.33
393,Bolivia,1997/98,153.219,108.219
394,Brazil,1997/98,26148.004,14648.003999999999
395,Burundi,1997/98,249.785,247.785
396,Ecuador,1997/98,1190.663,890.663
397,Indonesia,1997/98,7620.778,6088.778
398,Madagascar,1997/98,623.804,456.80400000000003
399,Malawi,1997/98,60.82,58.82
400,Papua New Guinea,1997/98,1074.021,1072.021
401,Paraguay,1997/98,23.379,3.3789999999999996
402,Peru,1997/98,1929.9589999999998,1729.9589999999998
403,Rwanda,1997/98,193.422,190.422
404,Timor-Leste,1997/98,,0.0
405,Zimbabwe,1997/98,130.19299999999998,126.193
406,"Congo, Rep. of",1997/98,3.27,0.27
407,Cuba,1997/98,300.02099999999996,105.021
408,Dominican Republic,1997/98,941.242,616.242
409,Haiti,1997/98,431.81800000000004,101.818
410,Philippines,1997/98,935.472,82.47200000000001
411,Tanzania,1997/98,623.78,606.78
412,Zambia,1997/98,38.461999999999996,37.861999999999995
413,Benin,1997/98,0.0,0.0
414,Cameroon,1997/98,888.942,788.942
415,Central African Republic,1997/98,114.354,104.354
416,Colombia,1997/98,12219.455,10619.455
417,"Congo, Dem. Rep. of",1997/98,811.217,611.217
418,Costa Rica,1997/98,2616.6,2241.6
419,Côte d'Ivoire,1997/98,4164.004,4114.004
420,El Salvador,1997/98,2174.8089999999997,1983.142
421,Equatorial Guinea,1997/98,1.669,1.669
422,Ethiopia,1997/98,3056.864,1332.864
423,Gabon,1997/98,2.668,1.868
424,Ghana,1997/98,27.275,24.275
425,Guatemala,1997/98,4219.373,3919.373
426,Guinea,1997/98,171.71099999999998,121.711
427,Guyana,1997/98,,0.0
428,Honduras,1997/98,2564.405,2403.405
429,India,1997/98,3805.0890000000004,2971.756
430,Jamaica,1997/98,47.025,27.025
431,Kenya,1997/98,881.965,831.965
432,"Lao, People's Dem. Rep. of",1997/98,,0.0
433,Liberia,1997/98,5.0,0.0
434,Mexico,1997/98,4801.561,3600.5609999999997
435,Nepal,1997/98,,0.0
436,Nicaragua,1997/98,1083.5230000000001,960.523
